1989 FIFA Futsal World Championship,1989,Netherlands
,,Japan,4-5,Paraguay
,,Italy,5-0,Japan
,,United States,3-1,Paraguay
,,Paraguay,2-4,Italy
,,United States,1-1,Japan
,,Iran,0-4,Portugal
,,Cuba,0-3,Argentina
,,Iran,8-3,Cuba
,,Portugal,0-1,Argentina
,,Argentina,6-1,Iran
,,Portugal,5-0,Cuba
,,Spain,2-0,Czech Republic
,,Italy,0-0,Portugal
,,Spain,2-3,Italy
,,Czech Republic,4-8,Portugal
,,Spain,3-1,Portugal
,,Czech Republic,0-3,Italy
,,Brazil,6-1,Ukraine
,,Argentina,2-1,United States
,,Brazil,2-1,Argentina
,,Ukraine,3-1,United States
,,Brazil,8-5,United States
,,Ukraine,0-0,Argentina
,,Brazil,4–5,Spain
,,Argentina,4–7,Italy
,,Brazil,7–4,Argentina
,,Spain,2–1,Italy
2008 FIFA Futsal World Cup,2008,Brazil
16 October 2008,,Brazil,12-1,Japan
16 October 2008,,Cuba,10-2,Solomon Islands
18 October 2008,,Solomon Islands,0-21,Brazil
19 October 2008,,Russia,10-5,Cuba
,,Brazil,7-0,Russia
,,Japan,7-2,Solomon Islands
,,Japan,4-1,Cuba
,,Russia,31-2,Solomon Islands
,,Brazil,9-0,Cuba
,,Russia,9-1,Japan
,,Italy,1-0,Thailand
,,Paraguay,5-0,United States
,,Portugal,3-2,Paraguay
,,United States,1-6,Italy
,,Thailand,5-3,United States
,,Italy,3-1,Portugal
,,Portugal,8-1,United States
,,Thailand,0-8,Paraguay
,,Italy,2-4,Paraguay
,,Portugal,3-2,Thailand
,,Guatemala,1-0,Egypt
,,Argentina,5-0,China
,,Egypt,2-4,Argentina
,,Ukraine,6-2,Guatemala
,,China,2-6,Egypt
,,Argentina,2-2,Ukraine
,,China,1-10,Guatemala
,,Ukraine,5-1,Egypt
,,Argentina,2-1,Guatemala
,,Ukraine,4-2,China
,,Spain,3-3,Iran
,,Uruguay,3-3,Libya
,,Libya,0-3,Spain
,,Czech Republic,4-1,Uruguay
,,Spain,4-0,Czech Republic
,,Iran,4-2,Libya
,,Czech Republic,4-2,Libya
,,Iran,4-2,Uruguay
,,Spain,3-0,Uruguay
,,Czech Republic,2-3,Iran
,,Brazil,1-0,Iran
,,Ukraine,0-4,Italy
,,Italy,0-3,Brazil
,,Ukraine,4-5,Iran
,,Brazil,5-3,Ukraine
,,Iran,5-5,Italy
,,Paraguay,3-3,Argentina
,,Spain,5-2,Russia
,,Spain,2-1,Argentina
,,Russia,5-4,Paraguay
,,Argentina,2-2,Russia
,,Paraguay,1-4,Spain
,,Russia,2–4,Brazil
,,Spain,3–2,Italy
,,Russia,1–2,Italy
,,Brazil,4–3,Spain
2012 FIFA Futsal World Cup,2012,Thailand
1 November 2012,17:00,Ukraine,3–3,Paraguay
1 November 2012,19:00,Thailand,3–1,Costa Rica
4 November 2012,17:00,Paraguay,3–6,Costa Rica
4 November 2012,19:00,Thailand,3–5,Ukraine
7 November 2012,19:00,Costa Rica,1–6,Ukraine
7 November 2012,19:00,Paraguay,3–2,Thailand
2 November 2012,19:00,Panama,8–3,Morocco
2 November 2012,21:00,Spain,2–2,Iran
5 November 2012,19:00,Morocco,1–2,Iran
5 November 2012,21:00,Spain,8–3,Panama
8 November 2012,19:00,Iran,4–3,Panama
8 November 2012,19:00,Morocco,1–5,Spain
1 November 2012,19:00,Libya,1–5,Portugal
1 November 2012,21:00,Brazil,4–1,Japan
4 November 2012,19:00,Portugal,5–5,Japan
4 November 2012,21:00,Brazil,13–0,Libya
7 November 2012,17:00,Japan,4–2,Libya
7 November 2012,17:00,Portugal,1–3,Brazil
2 November 2012,17:00,Italy,9–1,Australia
2 November 2012,19:00,Argentina,5–1,Mexico
5 November 2012,17:00,Australia,3–1,Mexico
5 November 2012,19:00,Argentina,2–3,Italy
8 November 2012,17:00,Mexico,2–5,Italy
8 November 2012,17:00,Australia,1–7,Argentina
3 November 2012,19:00,Czech Republic,3–2,Kuwait
3 November 2012,21:00,Egypt,1–3,Serbia
6 November 2012,19:00,Kuwait,2–7,Serbia
6 November 2012,21:00,Egypt,7–2,Czech Republic
9 November 2012,19:00,Serbia,2–2,Czech Republic
9 November 2012,19:00,Kuwait,4–3,Egypt
3 November 2012,17:00,Guatemala,5–2,Colombia
3 November 2012,19:00,Russia,16–0,Solomon Islands
6 November 2012,17:00,Colombia,11–3,Solomon Islands
6 November 2012,19:00,Russia,9–0,Guatemala
9 November 2012,17:00,Solomon Islands,4–3,Guatemala
9 November 2012,17:00,Colombia,0–2,Russia
11 November 2012,16:00,Paraguay,1–4,Portugal
11 November 2012,18:30,Ukraine,6–3,Japan
11 November 2012,18:30,Spain,7–1,Thailand
11 November 2012,21:00,Iran,1–2,Colombia
12 November 2012,16:00,Italy,5–1,Egypt
12 November 2012,18:30,Brazil,16–0,Panama
12 November 2012,18:30,Russia,3–0,Czech Republic
12 November 2012,21:00,Serbia,1–2,Argentina
14 November 2012,16:00,Argentina,2–3,Brazil
14 November 2012,18:30,Colombia,3–1,Ukraine
14 November 2012,18:30,Portugal,3–4,Italy
14 November 2012,21:00,Spain,3–2,Russia
16 November 2012,17:00,Italy,1–4,Spain
16 November 2012,19:30,Brazil,3–1,Colombia
18 November 2012,17:00,Italy,3–0,Colombia
18 November 2012,19:30,Spain,2–3,Brazil
2016 FIFA Futsal World Cup,2016,Colombia
10 September 2016,18:00,Uzbekistan,1–3,Panama
10 September 2016,20:00,Colombia,1–1,Portugal
13 September 2016,18:00,Panama,0–9,Portugal
13 September 2016,20:00,Colombia,3–3,Uzbekistan
16 September 2016,20:00,Panama,3–4,Colombia
16 September 2016,20:00,Portugal,5–1,Uzbekistan
10 September 2016,16:00,Cuba,1–7,Egypt
10 September 2016,18:00,Thailand,4–6,Russia
13 September 2016,18:00,Egypt,1–6,Russia
13 September 2016,20:00,Thailand,8–5,Cuba
16 September 2016,18:00,Egypt,1–2,Thailand
16 September 2016,18:00,Russia,7–1,Cuba
11 September 2016,18:00,Vietnam,4–2,Guatemala
11 September 2016,20:00,Paraguay,2–4,Italy
14 September 2016,18:00,Guatemala,1–5,Italy
14 September 2016,20:00,Paraguay,7–1,Vietnam
17 September 2016,18:00,Guatemala,4–8,Paraguay
17 September 2016,18:00,Italy,2–0,Vietnam
11 September 2016,16:00,Mozambique,2–3,Australia
11 September 2016,18:00,Ukraine,1–3,Brazil
14 September 2016,18:00,Australia,1–11,Brazil
14 September 2016,20:00,Ukraine,4–2,Mozambique
17 September 2016,16:00,Australia,1–3,Ukraine
17 September 2016,16:00,Brazil,15–3,Mozambique
12 September 2016,18:00,Solomon Islands,2–4,Costa Rica
12 September 2016,20:00,Argentina,1–0,Kazakhstan
15 September 2016,18:00,Costa Rica,1–3,Kazakhstan
15 September 2016,20:00,Argentina,7–3,Solomon Islands
18 September 2016,16:00,Costa Rica,2–2,Argentina
